,kenPom,hoopMath,sportsReference
0,Abilene Christian,Abilene Christian,ABILENE-CHRISTIAN
1,Air Force,Air Force,AIR-FORCE
2,Akron,Akron,AKRON
3,Alabama,Alabama,ALABAMA
4,Alabama A&M,Alabama A&M,ALABAMA-AM
5,Alabama St.,Alabama St.,ALABAMA-STATE
6,Albany,Albany (NY),ALBANY-NY
7,Alcorn St.,Alcorn,ALCORN-STATE
8,American,American,AMERICAN
9,Appalachian St.,Appalachian St.,APPALACHIAN-STATE
10,Arizona,Arizona,ARIZONA
11,Arizona St.,Arizona St.,ARIZONA-STATE
12,Arkansas,Arkansas,ARKANSAS
13,Arkansas Pine Bluff,Ark.-Pine Bluff,ARKANSAS-PINE-BLUFF
14,Arkansas St.,Arkansas St.,ARKANSAS-STATE
15,Army,Army West Point,ARMY
16,Auburn,Auburn,AUBURN
17,Austin Peay,Austin Peay,AUSTIN-PEAY
18,Ball St.,Ball St.,BALL-STATE
19,Baylor,Baylor,BAYLOR
20,Belmont,Belmont,BELMONT
21,Bethune Cookman,Bethune-Cookman,BETHUNE-COOKMAN
22,Binghamton,Binghamton,BINGHAMTON
23,Boise St.,Boise St.,BOISE-STATE
24,Boston College,Boston College,BOSTON-COLLEGE
25,Boston University,Boston U.,BOSTON-UNIVERSITY
26,Bowling Green,Bowling Green,BOWLING-GREEN-STATE
27,Bradley,Bradley,BRADLEY
28,Brown,Brown,BROWN
29,Bryant,Bryant,BRYANT
30,Bucknell,Bucknell,BUCKNELL
31,Buffalo,Buffalo,BUFFALO
32,Butler,Butler,BUTLER
33,BYU,BYU,BRIGHAM-YOUNG
34,Cal Baptist,California Baptist,CALIFORNIA-BAPTIST
35,Cal Poly,Cal Poly,CAL-POLY
36,Cal St. Bakersfield,CSU Bakersfield,CAL-STATE-BAKERSFIELD
37,Cal St. Fullerton,Cal St. Fullerton,CAL-STATE-FULLERTON
38,Cal St. Northridge,CSUN,CAL-STATE-NORTHRIDGE
39,California,California,CALIFORNIA
40,Campbell,Campbell,CAMPBELL
41,Canisius,Canisius,CANISIUS
42,Central Arkansas,Central Ark.,CENTRAL-ARKANSAS
43,Central Connecticut,Central Conn. St.,CENTRAL-CONNECTICUT-STATE
44,Central Michigan,Central Mich.,CENTRAL-MICHIGAN
45,Charleston,Col. of Charleston,COLLEGE-OF-CHARLESTON
46,Charleston Southern,Charleston So.,CHARLESTON-SOUTHERN
47,Charlotte,Charlotte,CHARLOTTE
48,Chattanooga,Chattanooga,CHATTANOOGA
49,Chicago St.,Chicago St.,CHICAGO-STATE
50,Cincinnati,Cincinnati,CINCINNATI
51,Clemson,Clemson,CLEMSON
52,Cleveland St.,Cleveland St.,CLEVELAND-STATE
53,Coastal Carolina,Coastal Caro.,COASTAL-CAROLINA
54,Colgate,Colgate,COLGATE
55,Colorado,Colorado,COLORADO
56,Colorado St.,Colorado St.,COLORADO-STATE
57,Columbia,Columbia,COLUMBIA
58,Connecticut,UConn,CONNECTICUT
59,Coppin St.,Coppin St.,COPPIN-STATE
60,Cornell,Cornell,CORNELL
61,Creighton,Creighton,CREIGHTON
62,Dartmouth,Dartmouth,DARTMOUTH
63,Davidson,Davidson,DAVIDSON
64,Dayton,Dayton,DAYTON
65,Delaware,Delaware,DELAWARE
66,Delaware St.,Delaware St.,DELAWARE-STATE
67,Denver,Denver,DENVER
68,DePaul,DePaul,DEPAUL
69,Detroit,Detroit Mercy,DETROIT-MERCY
70,Drake,Drake,DRAKE
71,Drexel,Drexel,DREXEL
72,Duke,Duke,DUKE
73,Duquesne,Duquesne,DUQUESNE
74,East Carolina,East Carolina,EAST-CAROLINA
75,East Tennessee St.,ETSU,EAST-TENNESSEE-STATE
76,Eastern Illinois,Eastern Ill.,EASTERN-ILLINOIS
77,Eastern Kentucky,Eastern Ky.,EASTERN-KENTUCKY
78,Eastern Michigan,Eastern Mich.,EASTERN-MICHIGAN
79,Eastern Washington,Eastern Wash.,EASTERN-WASHINGTON
80,Elon,Elon,ELON
81,Evansville,Evansville,EVANSVILLE
82,Fairfield,Fairfield,FAIRFIELD
83,Fairleigh Dickinson,Fairleigh Dickinson,FAIRLEIGH-DICKINSON
84,FIU,FIU,FLORIDA-INTERNATIONAL
85,Florida,Florida,FLORIDA
86,Florida A&M,Florida A&M,FLORIDA-AM
87,Florida Atlantic,Fla. Atlantic,FLORIDA-ATLANTIC
88,Florida Gulf Coast,FGCU,FLORIDA-GULF-COAST
89,Florida St.,Florida St.,FLORIDA-STATE
90,Fordham,Fordham,FORDHAM
91,Fresno St.,Fresno St.,FRESNO-STATE
92,Furman,Furman,FURMAN
93,Gardner Webb,Gardner-Webb,GARDNER-WEBB
94,George Mason,George Mason,GEORGE-MASON
95,George Washington,George Washington,GEORGE-WASHINGTON
96,Georgetown,Georgetown,GEORGETOWN
97,Georgia,Georgia,GEORGIA
98,Georgia Southern,Ga. Southern,GEORGIA-SOUTHERN
99,Georgia St.,Georgia St.,GEORGIA-STATE
100,Georgia Tech,Georgia Tech,GEORGIA-TECH
101,Gonzaga,Gonzaga,GONZAGA
102,Grambling St.,Grambling,GRAMBLING
103,Grand Canyon,Grand Canyon,GRAND-CANYON
104,Green Bay,Green Bay,GREEN-BAY
105,Hampton,Hampton,HAMPTON
